Nome de anuncio;Link;Preco;Data de Extração;Preco/m2;Rua/Local/Zona;ID;Freguesia;Municipio;Distrito;area util (m2);area bruta (m2);Tipologia;Ano;No Casas de Banho;Certificado Energetico;Condicao;Negociavel;Varanda;Ar Condicionado;Aspiracao Central;Vista de Campo/Serra;Lareira;Recuperacao de Calor;Suite;Despensa;Garagem (box);Arrecadacao;Vista de Mar;Vista de Rio;Cozinha Equipada;Aquecimento Central;Mobilado;Estacionamento;Condominio Fechado;Gas Canalizado;Piscina;Box;Elevador;Kitchenette;Marquise;Parqueamento;Piso Radiante;Terraco;Vista de Lago;Caldeira
b'Apartamento T2 em Vila Nova de Milfontes- Odemira';https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-vila-nova-de-milfontes-odemira-ID15QHP.html#dbbc4f4d43;165000;09/05/2021;1672;Rua do Pinhal;BejaOdemiraVila Nova de Milfontes;Vila Nova de Milfontes;ODEMIRA;BEJA;98;106;T2;1990;1;D;Usado;;;;;;;;;s;;s;;;;;;;;s;;;;s;;;;s;;
b'Apartamento T3 Venda em Barcelos- Vila Boa e Vila Frescainha (S\xc3\xa3o Mart';https://www.imovirtual.com/pt/anuncio/apartamento-t3-venda-em-barcelos-vila-boa-e-vila-frescainha-sao-mart-ID15Uqc.html#d4f1b92a43;335000;09/05/2021;2010;Rua Arquitecto Antonio Borges Vinagre;BragaBarcelosArcozelo;Arcozelo;BARCELOS;BRAGA;166;189;T3;2021;3;B;Em construcao;;s;;s;;s;s;;;s;;;;s;;;;;s;;;s;;;;;;;
b'Apartamento T3 no centro da cidade de Barcelos';https://www.imovirtual.com/pt/anuncio/apartamento-t3-no-centro-da-cidade-de-barcelos-ID15Uqb.html#d4f1b92a43;225000;09/05/2021;1731;Rua Arquitecto Antonio Borges Vinagre;BragaBarcelosArcozelo;Arcozelo;BARCELOS;BRAGA;130;;T3;2020;3;B;Em construcao;;s;;s;;s;s;;;s;s;;;s;;;;;s;;;s;;;;;;;
b'Apartamento T2 no centro de Barcelos';https://www.imovirtual.com/pt/anuncio/apartamento-t2-no-centro-de-barcelos-ID15U9f.html#51d5477c32;180000;09/05/2021;1714;Rua Dom Afonso;BragaBarcelosArcozelo;Arcozelo;BARCELOS;BRAGA;105;;T2;2020;2;B;Em construcao;;s;s;s;;s;s;;;s;;;;;;;;;s;s;;s;;;;;;;
b'Moradia T3 rua do Sapugal em Fradelos - V.N.Famalic\xc3\xa3o';https://www.imovirtual.com/pt/anuncio/moradia-t3-rua-do-sapugal-em-fradelos-v-n-famalicao-ID10Ftk.html#0056a3a24b;229000;09/05/2021;836;Rua do Sapugal;BragaBarcelosPerelhal;Perelhal;BARCELOS;BRAGA;274;;T3;2003;3;D;Renovado;;s;;;s;;;s;s;s;s;;;;s;;s;;;;;;;;;;s;;s
b'Apartamento T2 de luxo no centro de Barcelos';https://www.imovirtual.com/pt/anuncio/apartamento-t2-de-luxo-no-centro-de-barcelos-ID15UyA.html#7d222ab106;195000;09/05/2021;1647;Campo 5 de Outubro;BragaBarcelosBarcelos, Vila Boa e Vila Frescainha (Sao Martinho e Sao Pedro);Barcelos, Vila Boa e Vila Frescainha (Sao Martinho e Sao Pedro);BARCELOS;BRAGA;118;143;T2;2021;1;A;Em construcao;;s;s;s;;s;s;;;s;;;;s;;;;;s;;;s;;;;;;;
b'Apartamento T3 Venda em Barcelos- Vila Boa e Vila Frescainha (S\xc3\xa3o Mart';https://www.imovirtual.com/pt/anuncio/apartamento-t3-venda-em-barcelos-vila-boa-e-vila-frescainha-sao-mart-ID15Uyz.html#7d222ab106;215000;09/05/2021;1594;Campo 5 de Outubro;BragaBarcelosBarcelos, Vila Boa e Vila Frescainha (Sao Martinho e Sao Pedro);Barcelos, Vila Boa e Vila Frescainha (Sao Martinho e Sao Pedro);BARCELOS;BRAGA;134;156;T3;2020;2;A;Em construcao;;s;s;s;;;;;;s;;;;s;;;;;s;;;s;;;;;;;
b'Apartamento T3 remodelado na Avenida D. Nuno \xc3\x81lvares';https://www.imovirtual.com/pt/anuncio/apartamento-t3-remodelado-na-avenida-d-nuno-alvares-ID15Utx.html#7290ca75fd;152000;09/05/2021;1767;Avenida Dom Nuno alvares Pereira;BragaBarcelosBarcelos, Vila Boa e Vila Frescainha (Sao Martinho e Sao Pedro);Barcelos, Vila Boa e Vila Frescainha (Sao Martinho e Sao Pedro);BARCELOS;BRAGA;86;96;T3;2006;2;;Renovado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b'Apartamento T3 c/NOVO no Liberdade Street Fashion- Braga!';https://www.imovirtual.com/pt/anuncio/apartamento-t3-c-novo-no-liberdade-street-fashion-braga-ID15RFR.html#bc96c709ea;499900;09/05/2021;2427;Sao Jose de Sao Lazaro;BragaBragaBraga (Sao Jose de Sao Lazaro e Sao Joao do Souto);Braga (Sao Jose de Sao Lazaro e Sao Joao do Souto);BRAGA;BRAGA;206;206;T3;2011;3;;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;;
b'Apartamento T6 para restauro na Rua 25 de Abril- Braga';https://www.imovirtual.com/pt/anuncio/apartamento-t6-para-restauro-na-rua-25-de-abril-braga-ID15TEf.html#a4cacd35e1;155000;09/05/2021;1348;Sao Jose de Sao Lazaro;BragaBragaBraga (Sao Jose de Sao Lazaro e Sao Joao do Souto);Braga (Sao Jose de Sao Lazaro e Sao Joao do Souto);BRAGA;BRAGA;115;157;T6;1962;2;;Para recuperar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
